（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション率 - 合計,ページビュー - 合計,ページビュー率 - 合計,おすすめ出品（おすすめ商品）の獲得率,注文された商品点数,ユニットセッション率,注文商品の売上額,注文品目総数,商品が返金されました,返金率
B0FDG685PG,B0FL7ZW5NR,"[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マキシ丈 きれいめ (JP, アルファベット,2XL, ブラック)",25,0.97%,52,1.48%,90.91%,4,16.00%,"￥7,120",4,0,0.00%
B0FDWKWXD6,B0FMJZPYPT,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",19,0.74%,27,0.77%,100.00%,4,21.05%,"￥7,120",4,0,0.00%
B0G2YQQZMV,B0G2CTKW21,"[CALM.st] 猫 ねこ スリッパ もふもふ 室内 冬用 猫柄 ルームシューズ 洗える もこもこ レディース 保温 防寒 滑り止め 厚底 オフィス 男女兼用 (黒猫A, 標準, 日本の靴のサイズ寸法, 大人, 数値, 22.5 cm)",29,1.13%,41,1.16%,100.00%,4,13.79%,"￥7,920",4,0,0.00%
B0FDWKWXD6,B0FDR7CZGK,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",49,1.91%,71,2.02%,100.00%,3,6.12%,"￥5,340",3,0,0.00%
B0FGWL2QPR,B0FGWKVXVD,"[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー 日常 レジャー フラット フッドベット (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",32,1.24%,47,1.33%,100.00%,3,9.38%,"￥8,340",3,0,0.00%
B0FDWKWXD6,B0FJSQHQSN,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",26,1.01%,34,0.97%,100.00%,3,11.54%,"￥5,340",3,1,33.33%
B0FS83BQ26,B0FS84MRT5,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, M, ブラック)",48,1.87%,65,1.85%,100.00%,5,10.42%,"￥4,400",3,0,0.00%
B0F2GDK5ZT,B0F2GDK5ZT,週刊少年ジャンプ (19号),11,0.43%,13,0.37%,8.33%,2,18.18%,"￥1,798",2,0,0.00%
B0FDW2XL22,B0FD8YGZWW,[CALM.st] ブラウス レディース スクエア ネック シャツ 長袖 ボリューム 襟なし 体型カバー 韓国,13,0.51%,17,0.48%,100.00%,2,15.38%,"￥1,798",2,0,0.00%
B0FDW2XL22,B0FD8Z95X9,[CALM.st] ブラウス レディース スクエア ネック シャツ 長袖 ボリューム 襟なし 体型カバー 韓国,15,0.58%,17,0.48%,100.00%,2,13.33%,"￥1,798",2,0,0.00%
B0FDWKWXD6,B0FDR7N34C,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",22,0.86%,31,0.88%,100.00%,2,9.09%,"￥3,560",2,0,0.00%
B0FS83BQ26,B0G1NBWMHF,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,4,0.16%,5,0.14%,100.00%,2,50.00%,"￥1,960",2,0,0.00%
4065345626,4065345626,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(28) (KCデラックス),6,0.23%,10,0.28%,100.00%,1,16.67%,￥850,1,0,0.00%
B00J496XRW,B00J496XRW,最強ジャンプ (5月号),15,0.58%,23,0.65%,0.00%,1,6.67%,"￥1,250",1,0,0.00%
B0DHTMYFWB,B0DHTMYFWB,ジャンプGIGA 2024 AUTUMN,81,3.15%,106,3.01%,5.49%,1,1.23%,"￥1,950",1,0,0.00%
B0DHW6PL38,B0DHW6PL38,週刊少年ジャンプ (45号),40,1.56%,50,1.42%,81.82%,1,2.50%,￥989,1,0,0.00%
B0FDGHSR2K,B0FDGF7YDT,"[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス (JP, アルファベット, M, ブラック)",8,0.31%,11,0.31%,100.00%,1,12.50%,"￥1,780",1,0,0.00%
B0FK3CQZPZ,B0FK3DL6CM,"[CALM.st] スカート ミニ ミニスカ レディース コスプレ Aライン ベルト インナー 付き マイクロ プリーツ (JP, アルファベット, L, ブラック)",43,1.67%,67,1.90%,100.00%,1,2.33%,"￥2,180",1,0,0.00%
B0FK3TJSSH,B0FK3KW3JJ,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",5,0.19%,9,0.26%,100.00%,1,20.00%,"￥2,380",1,0,0.00%
B0FKT7CSLG,B0FKT53LYH,"[CALM.st] サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 通気性 快適 幅広 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",6,0.23%,9,0.26%,100.00%,1,16.67%,"￥2,980",1,0,0.00%
B0FVSKT393,B0FKTQVJB8,"[CALM.st] ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 カジュアル ジム (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",3,0.12%,4,0.11%,100.00%,1,33.33%,"￥1,680",1,0,0.00%
B0FL7XXQLN,B0FL7Q73ZD,"[CALM.st] ビーチサンダル メンズ 鼻緒 ビーチ トングサンダル 島ぞうり 草履 軽量 外履き アウトドア (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",1,0.04%,1,0.03%,100.00%,1,100.00%,"￥1,780",1,0,0.00%
B0FL9DHDWW,B0FL8BDN7R,"[CALM.st] フォーマルジューズ キラキラ リボン 女の子 ドレス サンダル 発表会 結婚式 七五三 パーティー (シルバー, 日本の靴のサイズ寸法, キッズ, 数値, 17.0 cm)",6,0.23%,6,0.17%,100.00%,1,16.67%,￥999,1,0,0.00%
B0FL9DHDWW,B0FL8FJYCZ, ,6,0.23%,16,0.45%,100.00%,1,16.67%,￥999,1,0,0.00%
B0FMPH1BZ3,B0FMP4M3PB,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",3,0.12%,3,0.09%,100.00%,1,33.33%,"￥2,280",1,0,0.00%
B0FGWL2QPR,B0FMPDZRFT,"[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー 日常 レジャー フラット フッドベット (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",3,0.12%,6,0.17%,100.00%,1,33.33%,"￥2,000",1,0,0.00%
B0FDWKWXD6,B0FP5K8J5T,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ベージュ, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",9,0.35%,14,0.40%,100.00%,1,11.11%,"￥1,780",1,0,0.00%
B0FDWKWXD6,B0FP5KRG79,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",14,0.54%,24,0.68%,100.00%,1,7.14%,"￥1,780",1,0,0.00%
B0FDWKWXD6,B0FP5L4D9K,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (グレー, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",7,0.27%,16,0.45%,100.00%,1,14.29%,"￥1,780",1,0,0.00%
B0FVSJNBZ7,B0FPGCD3W5,[CALM.st] ポップコーンバッグ トート キルティング 大容量 マザーズ 軽量 レディース ワッフル 韓国 (もこもこホワイトS),157,6.10%,200,5.68%,100.00%,1,0.64%,"￥1,480",1,0,0.00%
B0FVSJNBZ7,B0FPGD3B3V,[CALM.st] ポップコーンバッグ トート キルティング 大容量 マザーズ 軽量 レディース ワッフル 韓国 (もこもこブラックL),60,2.33%,73,2.07%,98.51%,1,1.67%,"￥1,980",1,0,0.00%
B0FVSJNBZ7,B0FPGGYLTQ,[CALM.st] ポップコーンバッグ トート キルティング 大容量 マザーズ 軽量 レディース ワッフル 韓国 (もこもこブラックS),77,2.99%,100,2.84%,97.87%,1,1.30%,"￥1,680",1,0,0.00%
B0FQ634CN3,B0FQ5Z9682,[CALM.st] スマホポーチ ショルダー スマホ メンズ 小さめ ポシェット スマホケース サコッシュ 斜めがけ (ダークブラック),15,0.58%,19,0.54%,100.00%,1,6.67%,￥899,1,0,0.00%
B0FS6M1SL8,B0FS2G93ZY,[CALM.st] トートバッグ キャンバス 軽量 仕切り 自立 マチ広 ハンドバッグ シンプル レディース (ブラックA スモール),96,3.73%,131,3.72%,95.97%,1,1.04%,"￥1,780",1,0,0.00%
B0FS81R2FB,B0FS7ZVZYV,"[CALM.st] ワンピース ロング丈 ドッキング 長袖 レディース ニット 異素材 切替 大きいサイズ きれいめ (JP, アルファベット, 3XL, ブラック)",11,0.43%,22,0.62%,100.00%,1,9.09%,"￥3,480",1,0,0.00%
B0FS83BQ26,B0FS81TC8Y,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, S, ブラック)",24,0.93%,33,0.94%,100.00%,1,4.17%,￥980,1,0,0.00%
B0FS886D4R,B0FS854LLM,[CALM.st] ネグリジェ パジャマ ワンピース 長袖 レディース 姫系 ルームウェア フリル セクシー 部屋着 (L),43,1.67%,60,1.70%,100.00%,1,2.33%,"￥1,780",1,0,0.00%
B0FST32ZJ5,B0FSSWW1CW,[CALM.st] 厚底 ブーツ ショートブーツ レディース レースアップ ブーティー 軽量 サイドジッパー コスプレ,6,0.23%,10,0.28%,100.00%,1,16.67%,"￥2,480",1,0,0.00%
B0FXH9F9MV,B0FX47ZP8N,"[CALM.st] ワイドパンツ レディース きれいめ ロング ガウチョ フレア パンツ スカーチョ 通年 韓国風 ハイウエスト 9分丈 (JP, アルファベット, XL, ブラック)",18,0.70%,21,0.60%,100.00%,1,5.56%,"￥1,880",1,0,0.00%
B0FXHBNQ7V,B0G19Z4CR3,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",3,0.12%,3,0.09%,100.00%,1,33.33%,"￥2,480",1,0,0.00%
B0FXHBNQ7V,B0G1B4NXFL,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.5 cm)",3,0.12%,4,0.11%,100.00%,1,33.33%,"￥2,480",1,0,0.00%
B0FS83BQ26,B0G1NGV72B,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,4,0.16%,4,0.11%,100.00%,1,25.00%,￥980,1,0,0.00%
B0FS83BQ26,B0G1Y337ST,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, M, ブラック)",5,0.19%,5,0.14%,100.00%,1,20.00%,"￥1,880",1,0,0.00%
