X,Y,Colcode
42,4,#d2d4d5
43,4,#619eb7
44,4,#619eb7
45,4,#619eb7
46,4,#65a5be
47,4,#81d3f4
48,4,#65a5be
49,4,#65a5be
50,4,#cfcfcf
42,5,#81d3f4
43,5,#81d3f4
44,5,#81d3f4
45,5,#81d3f4
46,5,#81d3f4
47,5,#81d3f4
48,5,#81d3f4
49,5,#81d3f4
50,5,#81d3f4
51,5,#2c4954
52,5,#cfcfcf
41,6,#bfbfbf
42,6,#81d3f4
43,6,#81d3f4
44,6,#81d3f4
45,6,#81d3f4
46,6,#81d3f4
47,6,#81d3f4
48,6,#81d3f4
49,6,#81d3f4
50,6,#81d3f4
51,6,#81d3f4
52,6,#81d3f4
41,7,#c3c6c7
42,7,#81d3f4
43,7,#81d3f4
44,7,#81d3f4
45,7,#81d3f4
46,7,#81d3f4
47,7,#81d3f4
48,7,#81d3f4
49,7,#81d3f4
50,7,#81d3f4
51,7,#81d3f4
52,7,#81d3f4
53,7,#81d3f4
54,7,#81d3f4
55,7,#7ac7e7
56,7,#181f21
41,8,#efefef
42,8,#81d3f4
43,8,#81d3f4
44,8,#81d3f4
45,8,#81d3f4
46,8,#81d3f4
47,8,#81d3f4
48,8,#81d3f4
49,8,#81d3f4
50,8,#81d3f4
51,8,#81d3f4
52,8,#81d3f4
53,8,#81d3f4
54,8,#81d3f4
55,8,#81d3f4
56,8,#81d3f4
57,8,#81d3f4
58,8,#81d3f4
59,8,#4b5456
41,9,#efefef
42,9,#81d3f4
43,9,#81d3f4
44,9,#81d3f4
45,9,#81d3f4
46,9,#81d3f4
47,9,#81d3f4
48,9,#81d3f4
49,9,#81d3f4
50,9,#81d3f4
51,9,#81d3f4
52,9,#81d3f4
53,9,#81d3f4
54,9,#81d3f4
55,9,#81d3f4
56,9,#81d3f4
57,9,#81d3f4
58,9,#81d3f4
59,9,#81d3f4
60,9,#81d3f4
61,9,#81d3f4
62,9,#81d3f4
41,10,#0b1215
42,10,#81d3f4
43,10,#81d3f4
44,10,#81d3f4
45,10,#81d3f4
46,10,#81d3f4
47,10,#81d3f4
48,10,#81d3f4
49,10,#81d3f4
50,10,#81d3f4
51,10,#81d3f4
52,10,#81d3f4
53,10,#81d3f4
54,10,#81d3f4
55,10,#81d3f4
56,10,#81d3f4
57,10,#81d3f4
58,10,#81d3f4
59,10,#81d3f4
60,10,#81d3f4
61,10,#81d3f4
62,10,#81d3f4
63,10,#6cb0cc
41,11,#2c4954
42,11,#81d3f4
43,11,#81d3f4
44,11,#81d3f4
45,11,#81d3f4
46,11,#81d3f4
47,11,#81d3f4
48,11,#81d3f4
49,11,#81d3f4
50,11,#81d3f4
51,11,#81d3f4
52,11,#81d3f4
53,11,#81d3f4
54,11,#81d3f4
55,11,#81d3f4
56,11,#81d3f4
57,11,#81d3f4
58,11,#81d3f4
59,11,#81d3f4
60,11,#81d3f4
61,11,#81d3f4
62,11,#81d3f4
63,11,#81d3f4
64,11,#f2aa55
65,11,#514c45
70,11,#404040
71,11,#454442
75,11,#404040
76,11,#bd8542
77,11,#e5a150
78,11,#bd8542
79,11,#f2aa55
80,11,#936834
41,12,#81d3f4
42,12,#81d3f4
