X,Y,Colcode
120,4,#96cda5
118,5,#c7e5cf
119,5,#96cda5
120,5,#96cda5
121,5,#96cda5
115,6,#fefefe
116,6,#ebfaef
118,6,#96cda5
119,6,#96cda5
120,6,#96cda5
121,6,#96cda5
122,6,#cae5d1
118,7,#93cca3
119,7,#96cda5
120,7,#96cda5
121,7,#96cda5
122,7,#96cda5
118,8,#ecfdf0
119,8,#96cda5
120,8,#96cda5
121,8,#96cda5
122,8,#96cda5
123,8,#94cca4
119,9,#96cda5
120,9,#96cda5
121,9,#96cda5
122,9,#96cda5
123,9,#96cda5
119,10,#96cda5
120,10,#96cda5
121,10,#96cda5
122,10,#96cda5
123,10,#96cda5
124,10,#ceead6
119,11,#96cda5
120,11,#96cda5
121,11,#96cda5
122,11,#96cda5
123,11,#96cda5
124,11,#96cda5
119,12,#96cda5
120,12,#96cda5
121,12,#96cda5
122,12,#96cda5
123,12,#96cda5
124,12,#96cda5
125,12,#95cda4
119,13,#96cda5
120,13,#96cda5
121,13,#96cda5
122,13,#96cda5
123,13,#96cda5
124,13,#96cda5
125,13,#96cda5
119,14,#96cda5
120,14,#96cda5
121,14,#96cda5
122,14,#96cda5
123,14,#96cda5
124,14,#96cda5
125,14,#96cda5
126,14,#96cda5
118,15,#96cda5
119,15,#96cda5
120,15,#96cda5
121,15,#96cda5
122,15,#96cda5
123,15,#96cda5
124,15,#96cda5
125,15,#96cda5
126,15,#96cda5
127,15,#96cda5
118,16,#96cda5
119,16,#96cda5
120,16,#96cda5
121,16,#96cda5
122,16,#96cda5
123,16,#96cda5
124,16,#96cda5
125,16,#96cda5
126,16,#96cda5
127,16,#96cda5
128,16,#96cda5
146,16,#96cda5
118,17,#96cda5
119,17,#96cda5
120,17,#96cda5
121,17,#96cda5
122,17,#96cda5
123,17,#96cda5
124,17,#96cda5
125,17,#96cda5
126,17,#96cda5
127,17,#96cda5
128,17,#96cda5
129,17,#96cda5
146,17,#96cda5
147,17,#96cda5
148,17,#a2d3af
118,18,#96cda5
119,18,#96cda5
120,18,#96cda5
121,18,#96cda5
122,18,#96cda5
123,18,#96cda5
124,18,#96cda5
125,18,#96cda5
126,18,#96cda5
127,18,#96cda5
128,18,#96cda5
129,18,#96cda5
130,18,#96cda5
140,18,#e0f0e5
141,18,#fafffd
145,18,#96cda5
146,18,#b9e2c4
118,19,#96cda5
119,19,#96cda5
120,19,#96cda5
121,19,#96cda5
122,19,#96cda5
123,19,#96cda5
124,19,#96cda5
125,19,#96cda5
126,19,#96cda5
127,19,#96cda5
128,19,#96cda5
129,19,#96cda5
130,19,#96cda5
131,19,#98cea7
134,19,#f9fcfa
139,19,#e9f5ec
140,19,#96cda5
144,19,#95cda4
116,20,#c8e6d0
117,20,#96cda5
118,20,#96cda5
119,20,#96cda5
120,20,#96cda5
121,20,#96cda5
122,20,#96cda5
123,20,#96cda5
124,20,#96cda5
125,20,#96cda5
126,20,#96cda5
127,20,#96cda5
128,20,#96cda5
129,20,#96cda5
130,20,#96cda5
131,20,#96cda5
132,20,#96cda5
133,20,#8fca9f
134,20,#96cda5
139,20,#96cda5
140,20,#e9f8ed
144,20,#96cda5
115,21,#d7f2dd
116,21,#96cda5
117,21,#96cda5
118,21,#96cda5
119,21,#96cda5
120,21,#96cda5
121,21,#96cda5
122,21,#96cda5
123,21,#96cda5
124,21,#96cda5
125,21,#96cda5
126,21,#96cda5
127,21,#96cda5
128,21,#96cda5
129,21,#96cda5
130,21,#96cda5
131,21,#96cda5
132,21,#96cda5
133,21,#96cda5
134,21,#96cda5
135,21,#96cda5
136,21,#92cba2
138,21,#96cda5
139,21,#96cda5
143,21,#96cda5
144,21,#fefefe
115,22,#d9f5e0
116,22,#96cda5
117,22,#96cda5
118,22,#96cda5
119,22,#96cda5
120,22,#96cda5
121,22,#96cda5
122,22,#96cda5
123,22,#96cda5
124,22,#96cda5
125,22,#96cda5
126,22,#96cda5
127,22,#96cda5
128,22,#96cda5
129,22,#96cda5
