X,Y,Colcode
39,2,#93cca3
40,2,#96cda5
40,3,#96cda5
41,3,#ceead6
40,4,#96cda5
41,4,#96cda5
39,5,#96cda5
40,5,#96cda5
41,5,#96cda5
42,5,#96cda5
39,6,#96cda5
40,6,#96cda5
41,6,#96cda5
42,6,#96cda5
43,6,#96cda5
46,6,#e9f5ec
38,7,#d9f5e0
39,7,#96cda5
40,7,#96cda5
41,7,#96cda5
42,7,#96cda5
43,7,#96cda5
44,7,#96cda5
45,7,#96cda5
46,7,#cde7d4
47,7,#96cda5
36,8,#96cda5
39,8,#96cda5
40,8,#96cda5
41,8,#96cda5
42,8,#96cda5
43,8,#96cda5
44,8,#96cda5
45,8,#96cda5
46,8,#96cda5
36,9,#cbe6d2
37,9,#96cda5
38,9,#96cda5
39,9,#96cda5
40,9,#96cda5
41,9,#96cda5
42,9,#96cda5
43,9,#96cda5
44,9,#96cda5
45,9,#96cda5
46,9,#96cda5
47,9,#e7f4ea
35,10,#96cda5
36,10,#96cda5
37,10,#96cda5
38,10,#96cda5
39,10,#96cda5
40,10,#96cda5
41,10,#96cda5
42,10,#96cda5
43,10,#96cda5
45,10,#96cda5
35,11,#96cda5
37,11,#96cda5
40,11,#96cda5
41,11,#96cda5
42,11,#96cda5
35,12,#96cda5
36,12,#e5f7ea
41,12,#96cda5
35,13,#96cda5
36,13,#96cda5
37,13,#acd7b7
35,14,#96cda5
37,15,#96cda5
35,16,#96cda5
37,16,#90caa1
34,17,#96cda5
35,17,#96cda5
36,17,#96cda5
37,17,#96cda5
35,18,#96cda5
36,18,#96cda5
37,18,#96cda5
34,19,#96cda5
35,19,#96cda5
36,19,#d8ecde
37,19,#96cda5
38,19,#96cda5
34,20,#c0e1ca
35,20,#96cda5
36,20,#96cda5
37,20,#96cda5
38,20,#96cda5
34,21,#96cda5
35,21,#96cda5
36,21,#96cda5
37,21,#96cda5
38,21,#96cda5
34,22,#96cda5
35,22,#96cda5
36,22,#96cda5
37,22,#96cda5
38,22,#95cda4
34,23,#96cda5
35,23,#96cda5
36,23,#96cda5
37,23,#fafcfa
33,24,#96cda5
34,24,#96cda5
35,24,#96cda5
36,24,#96cda5
32,25,#eceff2
33,25,#a4b4bd
34,25,#96cda5
35,25,#96cda5
36,25,#93cca2
31,26,#a8b7bf
32,26,#a4b4bd
33,26,#96cda5
34,26,#edf6ef
35,26,#96cda5
26,27,#a4b4bd
31,27,#a4b4bd
32,27,#a4b4bd
33,27,#96cda5
34,27,#96cda5
35,27,#8fc99f
30,28,#a4b4bd
31,28,#a4b4bd
32,28,#96cda5
33,28,#96cda5
34,28,#93cca2
35,28,#96cda5
16,29,#ea88a8
26,29,#c8d2d8
27,29,#a4b4bd
28,29,#9fb0b9
29,29,#a6b6bf
30,29,#a4b4bd
31,29,#a4b4bd
32,29,#96cda5
33,29,#eff8f3
34,29,#96cda5
35,29,#96cda5
15,30,#feffff
25,30,#a4b4bd
26,30,#a4b4bd
27,30,#a4b4bd
28,30,#a4b4bd
29,30,#a4b4bd
30,30,#f6a18d
31,30,#f6a18d
32,30,#f6a18d
33,30,#f6a18d
34,30,#96cda5
24,31,#a3b4bd
25,31,#a6b6bf
26,31,#a4b4bd
27,31,#a4b4bd
28,31,#a4b4bd
29,31,#a4b4bd
30,31,#f6a18d
31,31,#f6a18d
32,31,#f6a18d
33,31,#f6a18d
34,31,#f6a18d
15,32,#ea89a9
16,32,#ea89a9
17,32,#ea89a9
19,32,#e981a3
20,32,#80bee8
21,32,#81bee8
24,32,#a4b4bd
25,32,#e7eced
26,32,#a4b4bd
27,32,#a2b3bc
28,32,#a4b4bd
29,32,#a4b4bd
30,32,#f6a18d
31,32,#f6a18d
32,32,#fefbfa
33,32,#f6a18d
34,32,#f6a18d
14,33,#ea89a9
15,33,#e980a3
16,33,#ea8aaa
17,33,#ea89a9
18,33,#ea88a8
19,33,#ea89a9
20,33,#81bee8
21,33,#81bee8
22,33,#a3b3bc
23,33,#9eafb8
24,33,#a4b4bd
25,33,#a4b4bd
26,33,#a4b4bd
27,33,#a4b4bd
28,33,#a4b4bd
29,33,#a4b4bd
30,33,#fef3f0
31,33,#f6a18d
32,33,#f6a18d
33,33,#f6a18d
34,33,#f6a18d
12,34,#ea89a9
13,34,#ea89a9
14,34,#ea89a9
15,34,#ea89a9
16,34,#ea89a9
17,34,#ea89a9
18,34,#ea89a9
19,34,#81bee8
20,34,#81bee8
21,34,#b6d9f1
22,34,#81bee8
23,34,#d7e9f7
24,34,#a4b4bd
25,34,#a4b4bd
26,34,#a4b4bd
27,34,#a4b4bd
28,34,#b2bfc6
29,34,#a4b4bd
30,34,#a4b4bd
31,34,#feffff
32,34,#fad1c8
33,34,#f6a18d
34,34,#f6a18d
10,35,#e985a6
11,35,#ea89a9
12,35,#ea89a9
13,35,#ea89a9
14,35,#ea89a9
15,35,#ea89a9
16,35,#ea89a9
17,35,#ea89a9
18,35,#ea89a9
20,35,#81bee8
21,35,#81bee8
22,35,#81bee8
23,35,#81bee8
24,35,#81bee8
25,35,#a4b4bd
26,35,#a4b4bd
27,35,#cfd7dc
28,35,#a4b4bd
29,35,#a4b4bd
30,35,#f8c2b5
31,35,#f6a795
32,35,#fbd9d0
33,35,#f6a18d
9,36,#d8e39b
13,36,#ec9ab6
15,36,#fae5ec
22,36,#81bee8
23,36,#81bee8
25,36,#fdfdfd
26,36,#a4b4bd
27,36,#a4b4bd
28,36,#a4b4bd
30,36,#a4b4bd
32,36,#f6a18d
6,37,#d7e299
7,37,#d7e299
8,37,#d8e39b
9,37,#d8e39b
10,37,#d8e39b
15,37,#b78cc0
16,37,#ecdaf0
17,37,#b78cc0
18,37,#b78cc0
21,37,#81bee8
22,37,#81bee8
23,37,#81bee8
24,37,#81bee8
8,38,#d5e194
9,38,#d8e39b
10,38,#d8e39b
11,38,#d8e39b
13,38,#edd8f2
14,38,#b78cc0
15,38,#b78cc0
16,38,#b78cc0
17,38,#b386bc
18,38,#b78cc0
20,38,#84c1ec
21,38,#81bee8
22,38,#81bee8
7,39,#d8e39b
9,39,#d8e39b
10,39,#d7e298
11,39,#d8e39b
14,39,#b68bbf
15,39,#b78cc0
17,39,#b78bc0
21,39,#81bee8
7,40,#f3f7e2
8,40,#d7e298
9,40,#d8e39b
10,40,#d8e39b
11,40,#d8e39b
14,40,#b78cc0
8,41,#d8e39b
9,41,#d8e39b
10,41,#d8e39b
7,42,#d8e39b
8,42,#d8e39b
9,42,#d5e194
10,42,#d8e39b
7,43,#edf2cf
8,43,#d8e39a
9,43,#d8e39b
10,43,#d6e297
7,44,#d8e39b
8,44,#d8e39b
9,44,#d7e39a
3,45,#dae39e
8,45,#d8e39b
3,46,#d8e39d
4,46,#d8e39b
2,47,#d8e39b
8,47,#d8e39b
2,48,#d8e39b
