X,Y,Colcode
28,3,#81d3f4
29,3,#81d3f4
30,3,#81d3f4
31,3,#81d3f4
32,3,#81d3f4
33,3,#81d3f4
28,4,#81d3f4
29,4,#81d3f4
30,4,#81d3f4
31,4,#81d3f4
32,4,#81d3f4
33,4,#81d3f4
34,4,#81d3f4
35,4,#343737
36,4,#c3c6c7
28,5,#81d3f4
29,5,#81d3f4
30,5,#81d3f4
31,5,#81d3f4
32,5,#81d3f4
33,5,#81d3f4
34,5,#81d3f4
35,5,#81d3f4
36,5,#81d3f4
37,5,#81d3f4
38,5,#79c6e5
39,5,#cfcfcf
28,6,#81d3f4
29,6,#81d3f4
30,6,#81d3f4
31,6,#81d3f4
32,6,#81d3f4
33,6,#81d3f4
34,6,#81d3f4
35,6,#81d3f4
36,6,#81d3f4
37,6,#81d3f4
38,6,#81d3f4
39,6,#81d3f4
40,6,#81d3f4
41,6,#81d3f4
27,7,#c3c6c7
28,7,#81d3f4
29,7,#81d3f4
30,7,#81d3f4
31,7,#81d3f4
32,7,#81d3f4
33,7,#81d3f4
34,7,#81d3f4
35,7,#81d3f4
36,7,#81d3f4
37,7,#81d3f4
38,7,#81d3f4
39,7,#81d3f4
40,7,#81d3f4
41,7,#81d3f4
42,7,#81d3f4
43,7,#211c16
50,7,#cfcfcf
51,7,#b58040
52,7,#565047
53,7,#565047
27,8,#2c4954
28,8,#81d3f4
29,8,#81d3f4
30,8,#81d3f4
31,8,#81d3f4
32,8,#81d3f4
33,8,#81d3f4
34,8,#81d3f4
35,8,#81d3f4
36,8,#81d3f4
37,8,#81d3f4
38,8,#81d3f4
39,8,#81d3f4
40,8,#81d3f4
41,8,#81d3f4
42,8,#6cb0cc
43,8,#bd8542
44,8,#353432
45,8,#b58040
46,8,#f2aa55
47,8,#f2aa55
48,8,#f2aa55
49,8,#f2aa55
50,8,#f2aa55
51,8,#f2aa55
52,8,#f2aa55
53,8,#f2aa55
54,8,#f2aa55
55,8,#f2aa55
56,8,#b78140
27,9,#2c4954
28,9,#81d3f4
29,9,#81d3f4
30,9,#81d3f4
31,9,#81d3f4
32,9,#81d3f4
33,9,#81d3f4
34,9,#81d3f4
35,9,#81d3f4
36,9,#81d3f4
37,9,#81d3f4
38,9,#81d3f4
39,9,#81d3f4
40,9,#81d3f4
41,9,#81d3f4
42,9,#f2aa55
43,9,#f2aa55
44,9,#f2aa55
45,9,#f2aa55
46,9,#f2aa55
47,9,#f2aa55
48,9,#f2aa55
49,9,#f2aa55
50,9,#f2aa55
51,9,#f2aa55
52,9,#f2aa55
53,9,#f2aa55
54,9,#f2aa55
55,9,#f2aa55
56,9,#f2aa55
27,10,#2c4954
28,10,#81d3f4
29,10,#81d3f4
30,10,#81d3f4
31,10,#81d3f4
32,10,#81d3f4
33,10,#81d3f4
34,10,#81d3f4
35,10,#81d3f4
36,10,#81d3f4
37,10,#81d3f4
38,10,#81d3f4
39,10,#81d3f4
40,10,#81d3f4
41,10,#81d3f4
42,10,#f2aa55
43,10,#f2aa55
44,10,#f2aa55
45,10,#f2aa55
46,10,#f2aa55
47,10,#f2aa55
48,10,#f2aa55
49,10,#f2aa55
50,10,#f2aa55
51,10,#f2aa55
52,10,#f2aa55
53,10,#f2aa55
54,10,#f2aa55
55,10,#f2aa55
56,10,#f2aa55
57,10,#efefef
27,11,#416c7c
28,11,#81d3f4
29,11,#81d3f4
30,11,#81d3f4
31,11,#81d3f4
32,11,#81d3f4
33,11,#81d3f4
34,11,#81d3f4
35,11,#81d3f4
36,11,#81d3f4
37,11,#81d3f4
38,11,#81d3f4
39,11,#81d3f4
40,11,#81d3f4
41,11,#81d3f4
42,11,#68a3b9
43,11,#f2aa55
44,11,#f2aa55
45,11,#f2aa55
46,11,#f2aa55
47,11,#f2aa55
48,11,#f2aa55
49,11,#f2aa55
50,11,#f2aa55
51,11,#f2aa55
52,11,#f2aa55
53,11,#f2aa55
54,11,#f2aa55
55,11,#f2aa55
56,11,#f2aa55
57,11,#efefef
27,12,#81d3f4
28,12,#81d3f4
29,12,#81d3f4
30,12,#81d3f4
31,12,#81d3f4
32,12,#81d3f4
33,12,#81d3f4
34,12,#81d3f4
35,12,#81d3f4
36,12,#81d3f4
37,12,#81d3f4
38,12,#81d3f4
39,12,#81d3f4
40,12,#81d3f4
41,12,#81d3f4
42,12,#65a5be
43,12,#f2aa55
44,12,#f2aa55
45,12,#f2aa55
46,12,#f2aa55
47,12,#f2aa55
48,12,#f2aa55
49,12,#f2aa55
50,12,#f2aa55
51,12,#f2aa55
52,12,#f2aa55
53,12,#f2aa55
54,12,#f2aa55
55,12,#422e17
56,12,#f2aa55
27,13,#81d3f4
28,13,#81d3f4
29,13,#81d3f4
30,13,#81d3f4
31,13,#81d3f4
32,13,#81d3f4
33,13,#81d3f4
34,13,#81d3f4
35,13,#81d3f4
36,13,#81d3f4
37,13,#81d3f4
38,13,#81d3f4
39,13,#81d3f4
40,13,#81d3f4
41,13,#81d3f4
42,13,#81d3f4
43,13,#c18a48
44,13,#e39f50
45,13,#bd8542
46,13,#f2aa55
47,13,#f2aa55
48,13,#f2aa55
49,13,#f2aa55
50,13,#f2aa55
51,13,#f2aa55
52,13,#f2aa55
53,13,#f2aa55
27,14,#81d3f4
28,14,#81d3f4
29,14,#81d3f4
30,14,#81d3f4
31,14,#81d3f4
32,14,#81d3f4
33,14,#81d3f4
34,14,#81d3f4
35,14,#81d3f4
36,14,#81d3f4
37,14,#81d3f4
38,14,#81d3f4
39,14,#81d3f4
40,14,#81d3f4
41,14,#81d3f4
42,14,#81d3f4
43,14,#81d3f4
44,14,#81d3f4
45,14,#81d3f4
46,14,#ba8646
47,14,#f2aa55
48,14,#f2aa55
49,14,#f2aa55
50,14,#f2aa55
51,14,#f2aa55
52,14,#bb8342
26,15,#707070
27,15,#81d3f4
28,15,#81d3f4
29,15,#81d3f4
30,15,#81d3f4
31,15,#81d3f4
32,15,#81d3f4
33,15,#81d3f4
34,15,#81d3f4
35,15,#81d3f4
36,15,#81d3f4
37,15,#81d3f4
38,15,#81d3f4
39,15,#81d3f4
40,15,#81d3f4
41,15,#81d3f4
42,15,#81d3f4
43,15,#81d3f4
44,15,#81d3f4
45,15,#81d3f4
46,15,#f2aa55
47,15,#f2aa55
48,15,#f2aa55
49,15,#f2aa55
50,15,#f2aa55
51,15,#f2aa55
52,15,#f2aa55
53,15,#f2aa55
25,16,#cfcfcf
26,16,#81d3f4
27,16,#81d3f4
28,16,#81d3f4
29,16,#81d3f4
30,16,#81d3f4
31,16,#81d3f4
32,16,#81d3f4
33,16,#81d3f4
34,16,#81d3f4
35,16,#81d3f4
36,16,#81d3f4
37,16,#81d3f4
38,16,#81d3f4
39,16,#81d3f4
40,16,#81d3f4
41,16,#81d3f4
42,16,#81d3f4
43,16,#81d3f4
44,16,#81d3f4
45,16,#81d3f4
46,16,#f2aa55
47,16,#f2aa55
48,16,#f2aa55
49,16,#f2aa55
50,16,#f2aa55
51,16,#f2aa55
52,16,#f2aa55
21,17,#81d3f4
22,17,#81d3f4
23,17,#81d3f4
24,17,#81d3f4
25,17,#81d3f4
26,17,#81d3f4
27,17,#81d3f4
28,17,#81d3f4
29,17,#81d3f4
30,17,#81d3f4
31,17,#81d3f4
32,17,#81d3f4
33,17,#81d3f4
34,17,#81d3f4
