X,Y,Colcode
76,2,#91cba1
80,2,#badec3
76,3,#afd9bb
79,3,#96cda5
80,3,#96cda5
77,4,#96cda5
79,4,#96cda5
80,4,#96cda5
81,4,#96cda5
79,5,#96cda5
80,5,#96cda5
81,5,#96cda5
82,5,#fefefe
79,6,#96cda5
80,6,#96cda5
81,6,#96cda5
82,6,#96cda5
79,7,#96cda5
80,7,#96cda5
81,7,#96cda5
82,7,#96cda5
79,8,#94cca4
80,8,#96cda5
81,8,#96cda5
82,8,#96cda5
83,8,#96cda5
79,9,#96cda5
80,9,#96cda5
81,9,#96cda5
82,9,#96cda5
83,9,#96cda5
84,9,#98cea6
78,10,#fdfefe
79,10,#96cda5
80,10,#96cda5
81,10,#96cda5
82,10,#96cda5
83,10,#96cda5
84,10,#96cda5
85,10,#94cca4
78,11,#97cea6
79,11,#96cda5
80,11,#96cda5
81,11,#96cda5
82,11,#96cda5
83,11,#96cda5
84,11,#96cda5
85,11,#96cda5
86,11,#98cea7
97,11,#96cda5
98,11,#96cda5
78,12,#97cda6
79,12,#96cda5
80,12,#96cda5
81,12,#96cda5
82,12,#96cda5
83,12,#96cda5
84,12,#96cda5
85,12,#96cda5
86,12,#96cda5
93,12,#d5ebdb
96,12,#d2e9d9
97,12,#fefffe
78,13,#96cda5
79,13,#96cda5
80,13,#96cda5
81,13,#96cda5
82,13,#96cda5
83,13,#96cda5
84,13,#96cda5
85,13,#96cda5
86,13,#96cda5
87,13,#96cda5
88,13,#96cda5
89,13,#96cda5
93,13,#96cda5
96,13,#94cca3
77,14,#96cda5
78,14,#96cda5
79,14,#96cda5
80,14,#96cda5
81,14,#96cda5
82,14,#96cda5
83,14,#96cda5
84,14,#96cda5
85,14,#96cda5
86,14,#96cda5
87,14,#96cda5
88,14,#96cda5
89,14,#96cda5
90,14,#96cda5
91,14,#97cda6
92,14,#96cda5
95,14,#96cda5
77,15,#96cda5
78,15,#96cda5
79,15,#96cda5
80,15,#96cda5
81,15,#96cda5
82,15,#96cda5
83,15,#96cda5
84,15,#96cda5
85,15,#96cda5
86,15,#96cda5
87,15,#96cda5
88,15,#96cda5
89,15,#96cda5
90,15,#96cda5
91,15,#96cda5
92,15,#96cda5
94,15,#d0ebd7
77,16,#96cda5
78,16,#96cda5
79,16,#96cda5
80,16,#96cda5
81,16,#96cda5
82,16,#96cda5
83,16,#96cda5
84,16,#96cda5
85,16,#96cda5
86,16,#96cda5
87,16,#96cda5
88,16,#96cda5
89,16,#96cda5
90,16,#96cda5
91,16,#96cda5
92,16,#96cda5
72,17,#9bcfa9
73,17,#96cda5
77,17,#96cda5
78,17,#96cda5
79,17,#96cda5
80,17,#96cda5
81,17,#96cda5
82,17,#96cda5
83,17,#96cda5
84,17,#96cda5
85,17,#96cda5
86,17,#96cda5
87,17,#96cda5
88,17,#96cda5
89,17,#96cda5
90,17,#96cda5
91,17,#96cda5
92,17,#96cda5
93,17,#93cca2
73,18,#96cda5
74,18,#96cda5
75,18,#96cda5
76,18,#96cda5
77,18,#96cda5
78,18,#96cda5
79,18,#96cda5
80,18,#96cda5
81,18,#96cda5
82,18,#96cda5
83,18,#96cda5
84,18,#96cda5
85,18,#96cda5
86,18,#96cda5
87,18,#96cda5
88,18,#96cda5
89,18,#96cda5
90,18,#96cda5
